# Library
URL: /foundations/iconography/library
Source: https://github.com/daangn/seed-design/blob/dev/docs/content/foundations/iconography/library.mdx



## Monochrome Icons

| Icon Name | React Component Name | Figma Name | Keywords | Services | Tags |
| --- | --- | --- | --- | --- | --- |
| icon_a_uppercase_a_lowercase_fill | IconAUppercaseALowercaseFill | Weight=Fill | A, uppercase, lowercase, letter, font, 알파벳, 대문자, 소문자, 글자, 폰트 |  |  |
| icon_a_uppercase_a_lowercase_line | IconAUppercaseALowercaseLine | Weight=Line | A, uppercase, lowercase, letter, font, 알파벳, 대문자, 소문자, 글자, 폰트 |  |  |
| icon_a_uppercase_outline_fill | IconAUppercaseOutlineFill | Weight=Fill | A, uppercase, letter, 알파벳, 대문자, 글자, 아웃라인 |  |  |
| icon_a_uppercase_outline_line | IconAUppercaseOutlineLine | Weight=Line | A, uppercase, letter, 알파벳, 대문자, 글자, 아웃라인 |  |  |
| icon_a_uppercase_square_fill | IconAUppercaseSquareFill | Weight=Fill | A, uppercase, square, letter, 알파벳, 대문자, 사각형, 글자 |  |  |
| icon_a_uppercase_square_line | IconAUppercaseSquareLine | Weight=Line | A, uppercase, square, letter, 알파벳, 대문자, 사각형, 글자 |  |  |
| icon_androidshare_fill | IconAndroidshareFill | Weight=Fill | android, android_share, share, 공유, 네트워크, 안드, 안드로이드 |  |  |
| icon_androidshare_line | IconAndroidshareLine | Weight=Line | android, android_share, share, 공유, 네트워크, 안드, 안드로이드 |  |  |
| icon_apple_fill | IconAppleFill | Weight=Fill | 사과, 과일, 농수산물, apple, fruit |  | service |
| icon_apple_line | IconAppleLine | Weight=Line | 사과, 과일, 농수산물, apple, fruit |  | service |
| icon_arrow_clockwise_circular_fill | IconArrowClockwiseCircularFill | Weight=Fill | arrow, circular, clockwise, refresh, reload, retry, rotate, 리프레시, 새로고침, 시계방향, 원형, 재시도, 화살표, 회전 |  |  |
| icon_arrow_clockwise_circular_line | IconArrowClockwiseCircularLine | Weight=Line | arrow, circular, clockwise, refresh, reload, retry, rotate, 리프레시, 새로고침, 시계방향, 원형, 재시도, 화살표, 회전 |  |  |
| icon_arrow_clockwise_oval_fill | IconArrowClockwiseOvalFill | Weight=Fill | 360도, arrow, car, car_around_view, clockwise, panorama, refresh, reload, rotate, 새로고침, 시계방향, 중고차, 파노라마, 화살표, 회전 |  |  |
